age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
25,1,2,23287.9,0,0,0,0,1,1,1
57,1,1,50897.6,1,0,0,1,1,0,0
32,1,0,22446.5,0,1,0,0,1,1,1
44,0,2,23092.1,1,0,1,0,1,1,1
30,0,3,24867.6,1,0,1,1,0,0,0
43,0,3,22234.7,1,0,0,0,1,1,0
19,1,0,17371.1,1,2,1,1,1,0,0
37,1,3,29574,1,0,1,1,1,0,0
49,0,0,17944.2,0,1,1,1,1,1,1
49,1,1,33665.5,0,3,1,0,1,0,0
40,0,0,36166.2,1,0,0,0,0,0,0
33,1,2,27712.9,0,2,0,1,1,0,1
39,0,3,22400.7,1,2,1,1,1,0,0
43,1,0,28469.9,1,0,1,1,1,0,0
37,0,3,30488,1,0,0,1,1,1,0
24,1,3,19160.3,1,1,1,1,1,0,1
62,0,3,45342.5,1,0,1,1,0,0,1
18,0,0,6294.21,0,0,0,1,1,1,0
47,1,3,25127.7,1,0,1,0,0,0,0
63,0,2,51879.3,1,2,1,1,0,1,1
20,0,3,12644.9,1,2,1,0,1,1,0
46,1,3,21984.4,0,3,0,1,0,0,0
47,1,1,29093.1,0,2,1,1,1,0,0
33,0,3,23528.4,1,1,0,1,1,1,1
20,0,3,9516.91,0,3,1,1,1,0,0
20,0,0,18364.9,1,1,0,0,1,0,1
43,1,3,31273.8,0,1,1,1,0,0,1
58,0,1,49673.6,1,0,0,1,1,0,0
29,0,2,12623.4,1,1,1,1,1,0,0
25,0,0,23818.6,1,0,0,0,0,0,0
40,1,0,31473.9,0,2,0,1,1,1,1
48,0,3,20268,1,0,0,1,1,0,0
65,0,2,51417,1,2,0,1,1,0,1
59,1,1,30971.8,1,3,1,1,1,1,0
61,1,0,47025,0,2,1,1,1,1,0
30,1,0,9672.25,1,0,1,1,1,0,0
31,1,3,15976.3,1,0,1,1,0,0,1
29,0,0,14711.8,1,0,0,1,0,1,0
38,0,3,26671.6,0,0,1,0,1,1,1
